DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2024-10-01 00:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	0.05	EUR	2024-09-30 13:02:07.007
2024-10-01 04:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	139.15	EUR	2024-09-30 13:02:07.007
2024-10-01 08:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	77.63	EUR	2024-09-30 13:02:07.007
2024-10-01 12:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	57.41	EUR	2024-09-30 13:02:07.007
2024-10-01 16:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	249.99	EUR	2024-09-30 13:02:07.007
2024-10-01 20:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	93.80	EUR	2024-09-30 13:02:07.007
2024-10-01 02:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	0.09	EUR	2024-09-30 13:02:07.007
2024-10-01 06:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	115.98	EUR	2024-09-30 13:02:07.007
2024-10-01 10:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	56.02	EUR	2024-09-30 13:02:07.007
2024-10-01 14:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	97.65	EUR	2024-09-30 13:02:07.007
2024-10-01 18:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	165.15	EUR	2024-09-30 13:02:07.007
2024-10-01 00:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	0.05	EUR	2024-09-30 13:03:11.011
2024-10-01 04:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	33.48	EUR	2024-09-30 13:03:11.011
2024-10-01 08:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	38.65	EUR	2024-09-30 13:03:11.011
2024-10-01 12:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	34.96	EUR	2024-09-30 13:03:11.011
2024-10-01 16:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	54.40	EUR	2024-09-30 13:03:11.011
2024-10-01 20:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	43.14	EUR	2024-09-30 13:03:11.011
2024-10-01 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	8.00	EUR	2024-09-30 13:03:13.013
2024-10-01 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	41.32	EUR	2024-09-30 13:03:13.013
2024-10-01 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	36.00	EUR	2024-09-30 13:03:13.013
2024-10-01 14:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	43.56	EUR	2024-09-30 13:03:13.013
2024-10-01 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	47.77	EUR	2024-09-30 13:03:13.013
2024-10-01 00:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	0.05	EUR	2024-09-30 13:03:14.014
2024-10-01 04:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	7.82	EUR	2024-09-30 13:03:14.014
2024-10-01 08:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	38.65	EUR	2024-09-30 13:03:14.014
2024-10-01 12:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	34.96	EUR	2024-09-30 13:03:14.014
2024-10-01 16:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	52.83	EUR	2024-09-30 13:03:14.014
2024-10-01 20:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	41.89	EUR	2024-09-30 13:03:14.014
2024-10-01 02:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	0.09	EUR	2024-09-30 13:03:15.015
2024-10-01 06:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	41.32	EUR	2024-09-30 13:03:15.015
2024-10-01 10:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	31.24	EUR	2024-09-30 13:03:15.015
2024-10-01 14:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	43.56	EUR	2024-09-30 13:03:15.015
